,times
"('DiscreteStateSpace', 'Product')",42
"('Rounding', 'SubSystem')",4
"('Inport', 'Rounding')",19
"('Constant', 'ComplexToRealImag')",4
"('Assignment', 'Product')",4
"('DigitalClock', 'Product')",2
"('unknown', 'Constant')",7
"('Inport', 'unknown')",18
"('unknown', 'Inport')",19
"('Gain', 'Squeeze')",3
"('DiscreteFilter', 'Squeeze')",2
"('DiscreteIntegrator', 'Display')",2
"('DiscreteZeroPole', 'Sin')",2
"('DiscreteTransferFcn', 'Sum')",6
"('Rounding', 'DiscreteFir')",2
"('DiscreteFilter', 'Reshape')",3
"('Product', 'ComplexToMagnitudeAngle')",3
"('Gain', 'Math')",4
"('Gain', 'ComplexToMagnitudeAngle')",2
"('Gain', 'Inport')",4
"('Product', 'Math')",5
"('Rounding', 'Reference')",12
"('MinMax', 'Gain')",2
"('Sin', 'Squeeze')",102
"('PermuteDimensions', 'Sin')",30
"('Squeeze', 'Sum')",117
"('Squeeze', 'Squeeze')",84
"('Squeeze', 'MinMax')",64
"('Sin', 'PermuteDimensions')",40
"('PermuteDimensions', 'Squeeze')",76
"('PermuteDimensions', 'MinMax')",33
"('PermuteDimensions', 'Constant')",32
"('Squeeze', 'Sin')",66
"('Squeeze', 'PermuteDimensions')",60
"('Sin', 'MinMax')",25
"('Constant', 'Sin')",28
"('Squeeze', 'Inport')",109
"('MinMax', 'PermuteDimensions')",42
"('MinMax', 'Squeeze')",67
"('SubSystem', 'MinMax')",10
"('Outport', 'Squeeze')",44
"('MinMax', 'Constant')",97
"('Sin', 'Sum')",44
"('MinMax', 'Sin')",35
"('MinMax', 'SubSystem')",7
"('SubSystem', 'Squeeze')",15
"('SubSystem', 'Constant')",14
"('SubSystem', 'Sin')",7
"('Sin', 'SubSystem')",14
"('SubSystem', 'Sum')",33
"('Rounding', 'Inport')",6
"('Bias', 'Product')",6
"('DotProduct', 'Squeeze')",3
"('Sum', 'Bias')",4
"('SignalGenerator', 'ToWorkspace')",3
"('Gain', 'Bias')",2
"('DotProduct', 'Sqrt')",46
"('DiscreteFilter', 'Inport')",23
"('Demux', 'Terminator')",4
"('DiscreteTransferFcn', 'Abs')",4
"('Rounding', 'DiscreteTransferFcn')",2
"('Outport', 'Rounding')",5
"('MinMax', 'Bias')",3
"('DiscreteFir', 'PermuteDimensions')",2
"('Trigonometry', 'Reshape')",40
"('Reshape', 'MinMax')",2
"('MinMax', 'Trigonometry')",33
"('unknown', 'unknown')",22
"('unknown', 'Sqrt')",4
"('Constant', 'ComplexToMagnitudeAngle')",40
"('DotProduct', 'ComplexToMagnitudeAngle')",2
"('Reference', 'Squeeze')",54
"('Gain', 'Rounding')",2
"('Math', 'Terminator')",2
"('SubSystem', 'Math')",6
"('UnitDelay', 'Gain')",5
"('Outport', 'UnitDelay')",15
"('PermuteDimensions', 'DiscretePulseGenerator')",2
"('Reshape', 'SubSystem')",12
"('Delay', 'Reshape')",98
"('Sin', 'Bias')",2
"('Bias', 'MinMax')",3
"('Sqrt', 'DiscreteTransferFcn')",8
"('If', 'DiscreteFilter')",86
"('DiscreteFilter', 'UnaryMinus')",2
"('Signum', 'UnaryMinus')",37
"('Sin', 'Display')",2
"('Display', 'ToWorkspace')",39
"('Constant', 'ToWorkspace')",5
"('ToWorkspace', 'Display')",35
"('Sin', 'Gain')",2
"('Sin', 'Terminator')",3
"('Inport', 'DigitalClock')",85
"('ToWorkspace', 'Outport')",62
"('Outport', 'Terminator')",24
"('Sum', 'ToWorkspace')",4
"('Outport', 'Display')",97
"('DataTypeConversion', 'Trigonometry')",2
"('DataTypeConversion', 'Signum')",2
"('UnaryMinus', 'DataTypeConversion')",5
"('DataTypeConversion', 'UnaryMinus')",5
"('DataTypeConversion', 'DataTypeConversion')",6
"('UnitDelay', 'Bias')",4
"('Bias', 'Bias')",4
"('Abs', 'Abs')",3
"('Abs', 'Math')",3
"('Product', 'Bias')",6
"('ComplexToMagnitudeAngle', 'Rounding')",4
"('DataTypeConversion', 'Reference')",171
"('Sqrt', 'DataTypeConversion')",2
"('DataTypeConversion', 'DiscreteStateSpace')",223
"('DiscreteFir', 'If')",163
"('DataTypeConversion', 'DiscreteFir')",467
